SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
US-Men,AmeriFlux,2014,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Men_FLUXNET2015_FULLSET_MM_2014-2017_beta-3.csv,False,WAT,260.0,43.0772,-89.403,"Lake Mendota, Center for Limnology Site",25,4,Dfa,Cold,C3,2.35
US-Mpj,AmeriFlux,2008,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Mpj_FLUXNET2015_FULLSET_MM_2008-2017_beta-3.csv,False,OSH,2138.0,34.4384,-106.2377,Mountainair Pinyon-Juniper Woodland,7,2,BSk,Arid,C3,0.24
US-OWC,AmeriFlux,2015,2016,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-OWC_FLUXNET2015_FULLSET_MM_2015-2016_beta-5.csv,False,WET,174.0,41.3795,-82.5125,Old Woman Creek,25,4,Dfa,Cold,C3,0.0
US-Oho,AmeriFlux,2004,2013,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Oho_FLUXNET2015_FULLSET_MM_2004-2013_beta-5.csv,True,DBF,230.0,41.5545,-83.8438,Oak Openings,25,4,Dfa,Cold,C3,29.26
US-Pnp,AmeriFlux,2016,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Pnp_FLUXNET2015_FULLSET_MM_2016-2017_beta-3.csv,False,WAT,260.0,43.0896,-89.4158,"Lake Mendota, Picnic Point Site",25,4,Dfa,Cold,C3,2.35
US-Prr,AmeriFlux,2010,2016,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Prr_FLUXNET2015_FULLSET_MM_2010-2016_beta-5.csv,True,ENF,210.0,65.1237,-147.4876,Poker Flat Research Range Black Spruce Forest,27,4,Dfc,Cold,C3,0.0
US-Rls,AmeriFlux,2014,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Rls_FLUXNET2015_FULLSET_MM_2014-2017_beta-5.csv,False,CSH,1608.0,43.1439,-116.7356,RCEW Low Sagebrush,7,2,BSk,Arid,C3,0.08
US-Rms,AmeriFlux,2014,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Rms_FLUXNET2015_FULLSET_MM_2014-2017_beta-5.csv,False,CSH,2111.0,43.0645,-116.7486,RCEW Mountain Big Sagebrush,18,4,Dsb,Cold,C3,0.08
US-Ro1,AmeriFlux,2004,2016,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ro1_FLUXNET2015_FULLSET_MM_2004-2016_beta-5.csv,False,CRO,260.0,44.7143,-93.0898,Rosemount- G21,25,4,Dfa,Cold,rotation,24.84
US-Ro4,AmeriFlux,2014,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Ro4_FLUXNET2015_FULLSET_MM_2014-2017_beta-5.csv,False,GRA,274.0,44.6781,-93.0723,Rosemount Prairie,25,4,Dfa,Cold,C4,24.84
