encoder_index,month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_attention
-285,0.012724053,0.008937719,0.0057224557,0.003431174,0.1138449,0.027971772,0.13217731,0.03657855,0.013058909,0.019375483,0.03254162,0.020823278,0.014371963,0.023185985,0.009249763,0.022183504,0.0033639013,0.0026506144,0.018534504,0.0148402145,0.015131851,0.00398303,0.018539645,0.013547976,0.0128377555,0.009384762,0.018570686,0.008392767,0.002413161,0.017957037,0.0029943464,0.030634446,0.017532496,0.017006956,0.0155229615,0.18757746,0.072405055,0.00078965124
-284,0.013565389,0.009944127,0.005669797,0.0029629632,0.11947016,0.032498624,0.12571411,0.01478487,0.012579518,0.020184156,0.03207323,0.022057692,0.014076763,0.025506604,0.01047476,0.024865316,0.0035612467,0.0027169902,0.020313485,0.014669679,0.015075501,0.0044460134,0.019492242,0.015095822,0.012215909,0.009481335,0.019431883,0.007702445,0.002331279,0.019491289,0.002945275,0.033785794,0.019793604,0.016643407,0.015034248,0.19301656,0.06632786,0.0006674878
-283,0.013164135,0.009494577,0.0058715562,0.002913105,0.12925784,0.033328004,0.12085012,0.014558173,0.012511768,0.019971415,0.03192983,0.023172837,0.0139518315,0.026076896,0.010756187,0.025163703,0.0032822369,0.0027268084,0.020816231,0.01498513,0.015084502,0.0047873114,0.019945867,0.017369447,0.012156584,0.009009797,0.019595297,0.007479522,0.0024249614,0.019901903,0.0030066147,0.03427626,0.019133177,0.016117921,0.015640242,0.1845058,0.06478241,0.00064677367
-282,0.013365826,0.009954484,0.005996407,0.0030445037,0.1276526,0.03283119,0.124712765,0.017361516,0.0125260055,0.020339403,0.032648806,0.02205459,0.014019853,0.025005708,0.010301491,0.024373084,0.0034870622,0.0025807512,0.020413116,0.014826612,0.01506107,0.0046099643,0.019487504,0.015613742,0.012167488,0.00904863,0.019467562,0.007591422,0.0023896697,0.019773826,0.0028647813,0.033025123,0.01961165,0.016938409,0.0154959485,0.1828535,0.06650388,0.0006186059
-281,0.014093542,0.0095464885,0.0054032956,0.0029055541,0.11280698,0.03325442,0.12555297,0.014617229,0.012445851,0.020141019,0.031324577,0.02315465,0.013784223,0.02645871,0.01118223,0.026245233,0.0035267877,0.0028227714,0.02073516,0.014866541,0.014999338,0.004201648,0.019727496,0.015810186,0.012103561,0.009585145,0.019538816,0.007490081,0.0023561772,0.019479107,0.0030322801,0.033332087,0.019521479,0.015144909,0.015286404,0.20185256,0.061670545,0.00059024914
-280,0.01354841,0.009270116,0.006226891,0.0035894737,0.13155752,0.034356903,0.13355446,0.015397781,0.013006187,0.020752821,0.034279454,0.026314769,0.01458331,0.027135503,0.0104095405,0.025349656,0.0034431233,0.002819486,0.021372955,0.015028413,0.015644614,0.004393364,0.020314896,0.017367894,0.012697049,0.009545437,0.020151243,0.0065906746,0.002181442,0.01964899,0.0028871016,0.035449285,0.02089432,0.015973141,0.01508337,0.15331525,0.06586516,0.00046235262
-279,0.014332612,0.004547593,0.016224893,0.0092540085,0.159683,0.033387538,0.066126995,0.05689942,0.016924225,0.0131170135,0.04549513,0.033682138,0.01712061,0.007425609,0.014714911,0.019646745,0.0023830405,0.012956474,0.07222347,0.017539443,0.019371722,0.020582685,0.025115592,0.0254018,0.017005276,0.011328291,0.023156388,0.001991077,0.0015076476,0.026299372,0.0026036254,0.024229173,0.025894161,0.010296428,0.018240515,0.014562116,0.09872931,0.0015773315
-278,0.013053498,0.00391307,0.022738678,0.012209411,0.10170208,0.034559686,0.05084133,0.028638197,0.017654553,0.011286019,0.029774882,0.03421173,0.013525092,0.005766278,0.018991057,0.017039882,0.0022082264,0.022104962,0.15733786,0.01950185,0.020264275,0.030116795,0.02832878,0.02657719,0.018066226,0.011951115,0.024563381,0.0015629018,0.0025536118,0.033779413,0.0032652577,0.017972,0.03130578,0.008056315,0.019090483,0.0061668074,0.09932127,0.00068245066
-277,0.010661753,0.003291242,0.022683702,0.013739028,0.084442556,0.030063717,0.04923632,0.027376372,0.017156327,0.008758478,0.022970231,0.031270403,0.010490466,0.0057192557,0.016833019,0.012979205,0.0020564576,0.022998743,0.21975727,0.019002538,0.019307312,0.028147224,0.026007267,0.024305617,0.01773035,0.011728647,0.022820896,0.0016203915,0.0032080726,0.034071185,0.0042045857,0.01589228,0.027450096,0.0072930492,0.018265652,0.005307557,0.101152845,0.00040433204
-276,0.0100160455,0.0030394697,0.023106396,0.014272239,0.08223473,0.028027222,0.048195444,0.040979177,0.017196873,0.008335616,0.021985149,0.030673256,0.010246104,0.0055130557,0.015669331,0.0116903,0.0019863865,0.023298066,0.22244427,0.018765282,0.019084197,0.026716135,0.025054334,0.023392199,0.017727435,0.011888004,0.022054339,0.0017430526,0.0034622008,0.03438997,0.004374782,0.015102476,0.025123434,0.00722162,0.018095067,0.005734889,0.10116141,0.0005272873
